Date,Open,High,Low,Close,Volume,EMA4,EMA9,EMA18,RSI,STOCHRSIK,STOCHRSID,MACDs,MACDh,MACD,BBUPPER,BBMIDDLE,BBLOWER,ADX
2022-01-23 09:30:00,2495.91,2500.0,2484.7,2485.86,3396.67,2493.14,2502.05,2502.68,46.0,5.0,3.0,15.0,-8.0,7.0,2549.47,2511.72,2473.96,29.84
2022-01-23 09:45:00,2485.86,2497.35,2481.34,2495.15,4370.46,2493.94,2500.67,2501.89,50.0,10.0,7.0,13.0,-7.0,6.0,2549.55,2511.56,2473.57,28.25
2022-01-23 10:00:00,2495.15,2496.47,2482.77,2492.04,2974.81,2493.18,2498.94,2500.85,48.0,8.0,8.0,12.0,-7.0,5.0,2549.29,2511.76,2474.23,26.76
2022-01-23 10:15:00,2492.04,2506.39,2490.41,2503.21,3893.97,2497.19,2499.8,2501.1,53.0,19.0,12.0,10.0,-6.0,5.0,2549.06,2512.24,2475.41,25.09
2022-01-23 10:30:00,2503.2,2506.57,2494.12,2502.61,3058.13,2499.36,2500.36,2501.26,53.0,24.0,17.0,9.0,-5.0,4.0,2548.11,2513.09,2478.08,23.54
2022-01-23 10:45:00,2502.93,2510.07,2496.98,2505.14,5010.14,2501.67,2501.31,2501.67,54.0,33.0,25.0,8.0,-4.0,4.0,2548.08,2513.27,2478.46,22.38
2022-01-23 11:00:00,2505.14,2518.27,2477.0,2479.43,8818.04,2492.78,2496.94,2499.33,43.0,23.0,27.0,7.0,-5.0,2.0,2548.83,2511.33,2473.84,21.75
2022-01-23 11:15:00,2479.43,2480.4,2454.01,2465.75,9749.97,2481.97,2490.7,2495.79,38.0,12.0,23.0,6.0,-6.0,-0.0,2549.57,2508.3,2467.03,22.37
2022-01-23 11:30:00,2465.75,2465.83,2441.17,2445.52,6887.13,2467.39,2481.66,2490.5,33.0,-0.0,12.0,4.0,-8.0,-4.0,2550.46,2503.79,2457.12,23.47
2022-01-23 11:45:00,2445.06,2449.5,2405.01,2433.51,19681.85,2453.84,2472.03,2484.5,30.0,-0.0,4.0,1.0,-9.0,-8.0,2552.69,2499.08,2445.47,25.55
2022-01-23 12:00:00,2433.51,2440.62,2422.22,2425.05,5936.64,2442.32,2462.64,2478.24,28.0,-0.0,-0.0,-1.0,-10.0,-12.0,2553.6,2493.86,2434.13,27.49
2022-01-23 12:15:00,2425.05,2437.86,2424.97,2433.44,3188.44,2438.77,2456.8,2473.53,33.0,6.0,2.0,-4.0,-10.0,-14.0,2552.24,2489.34,2426.45,29.29
